,similar_clips,clip_id
315,[ 944 1111  295 1079 1080  817 2940 1389 2430  540],190873469
316,[3436 2878 1730 1933 3482  340 1182  723  206 2799],201426970
317,[1493  114  182   45  130  211  312   71  261 1249],188730204
318,[2407 2267 2535  359  493  873   68 1012 1070 2683],178492962
319,[2511 2986 2117 2655 1201 1857  523 2669  228 2851],202525836
320,[ 999 2101  272 1070  922 1089 1079  721  300  308],203116933
321,[ 692  811  277    9  739 1006 1025  337  576  167],168812053
322,[  79  717 1132 1296  880  558  781  645  841  117],203126235
323,[2175 1484 1794 2320 3349 3634 2477 2577 2053 1983],202913128
324,[2549  723 1050 2633 2435  219 1234  139 2506   47],194700076
325,[3076 1523  918 2967 2415   33  431  626  493   19],201863382
326,[1424  728 3174  715 2060 1555   37 2015 1910 2613],200968086
327,[3813 2436  483 1279  118  638  788  388 3118  614],201461427
328,[2430 3646 3241 1369 1080 1658 1389 2763  540 2017],196755403
329,[  62 3863 3499  103 3501 2570  289 3494 1449  218],200671449
330,[ 623  449  297 2470  322  792  242 2931  902 3849],202045606
331,[3586 1494 1790 2786 2151 1962  370 1490 1683 2279],198306286
332,[ 484  995 2593 1013  212  608  469  991  779  436],201643449
333,[ 312  334 3798 1032  724  144 3584  275 3870 3467],201746560
334,[2202 2923  540  266  109 3825  333 2675 2430 3163],130245089
335,[ 621  615  154  668  614  796  631  784 1365  304],198143287
336,[3456 2641 3125 3516 3113 1037  727 2251 3727 3597],186237056
337,[1004  123 1496  739  905  307  915  576  167 1025],167172968
338,[ 944   65 1508 1111 2430 1556  533 1389 3324  540],200325511
339,[ 614  615 2514  335  105 1668 1426 2365 1243 1028],200044496
340,[  97 2439  587 2249 2799 3820 2308  839  316  546],197299050
341,[ 723 2960  206  420 1501  710 1029 1253 1037  578],199826671
342,[ 999 1200 2279 1313 1258 1866   48 1611  798  440],199613170
343,[ 651 1306  335 3435 3040  479  640 2334 2456 1482],199785275
344,[ 827 2329  668 1537 3102 1684 1964 1304  393  555],198763338
345,[ 645 1315  781 1025 1648  717  757  411  915 1496],193669700
346,[3845  364  229 1326 1346 1184  204  236  705  266],199060571
347,[2548    3 2274  946  270 2075 2806 1271 2764 1244],198559065
348,[2108 3366 3174 1622 3577 2144 3061 1798 1094 3066],198811503
349,[  43 1628 2040  307 1025 2813   37  905  123  789],197956191
350,[2577 2629 3421 3669 1730 1658 3354 2900 3274  516],198802302
351,[ 119  123  121  117 1004  645  905 1025  841  715],198483841
352,[ 651 1877 2170 2401  266 1093 2530 2061  768 1002],198610344
353,[ 723  316 1109  224  255  254  205   92    3  303],198404476
354,[ 231 3503 3275 3805 2683 1903 2691 3770  255  946],197324296
355,[1025  652  123 2813 1004  307  905 2040  789   43],195369371
356,[ 999 1069 1834 2879 2608 1309 1177 1791 1203   92],135915405
357,[ 151   62  139  202  152 3712  160  124   60  105],84327247
358,[2151  453 2221  465  486 2017 3112  150  873   68],196684590
359,[3300 3749 3529 1113 2412 1881 2492 2993  852 1799],197401359
360,[ 192 3794  411 1252 2135  640 2591  532 1140  500],181652880
361,[ 335 2390  784  788  672  614  505 2017  388  177],197586750
362,[  29 1992 2222 1230 1822 3629 2958  635 1617 2484],162057175
363,[2181  421 1776 3522 3268  608  266 3531 1167 2857],196463287
364,[ 204 3304 2042 3702 1475 2070  266 3843 2716 3811],196103067
365,[2313 1505 1171 1289 2452  999 1200  480 1313   21],196277011
366,[1345  620  662  312  556 3647 1569 3186  696 3154],144197055
367,[1617 1920 3209 1056 3135 2764  720  794 1029   78],194276412
368,[1787 1383 1288 1862 1493 1126  813  248 2512 1662],195737724
369,[ 488  483 1318  614 2685 1888  794 1314  400  665],195809156
370,[  61  299 1483 3452  151  517  331 1428 2279 1683],195433452
371,[2430 3073 3074 1980  808  104 2744  540 1997  228],193517656
372,[1492 3357 1001  788  608 1803  779 1668 1873 1966],63253281
373,[ 831 3607 1111 2044  540 2430 1389  706 1031 2686],189050258
374,[1658  176  944 1480 2430 1111    6  540 1389  526],193599881
375,[  37  716  911 1025  789   67  123 1258  905 1972],139671987
376,[ 290  789 2813 1977 1891 1924 2221  395 1921  988],194353922
377,[1590 1293 1019  490  808 2062 3221 2284  547 1177],193523075
378,[3296 2148 1513 1757 2437  434  758   14   10 3711],192907226
379,[3075  772 1684 2585  615 2319  382 1804 2069  894],190645337
380,[2620 3164 2847 1175  130  557 3647 3810 2015  262],190558650
381,[ 396 3098  123  905 3584 1598  475 3668 2976  476],193419910
382,[ 782  307  739  905  811 1025  123  475  576  167],193677663
383,[ 728 1402 2096 1258  561 1016 3247 1891 1921 3174],193729267
384,[1439 3283  446  317 2293 3214 3663 3799  954 3637],192733922
385,[2574  556  274   61 1121 3324 1365  335 1280  979],193362364
386,[ 985 1783 2593 3596 1268 1096 2017  677 1456 2343],187943373
387,[2112 2165 1786 3584  381 2297 1679 1770 3851 3060],173524321
388,[ 393  638   42  784 1964 1461 1039  118 2544  614],192520222
389,[2401 2418 3847  653 2887  505 1300 3191  199 2017],192438480
390,[3684 2017  724 2852  234  597 1443 3775  125 2751],191688688
391,[ 535 3734  727 3847 1456 2593  742  571 3266 1516],189440916
392,[2704 2960  105  578  806 1253  557  939 3712 3801],182373864
393,[ 827  388  614 1537 2429 3102 1304  344  668  555],191539459
394,[ 957  475  779  103 3207 2820 2640 2308 1661 3262],184859361
395,[ 874 2387 1671 3408 2022    5  376   53  290  988],190513423
396,[ 381 1767 2535 2458 1346 1415 2774 3505 2430 2901],189536800
397,[ 726 1306  631  691 1247  258 1045 1700 2410 1130],177833573
398,[1343 3716 1933 1926 1474 1692 2656 3154 3863 2751],190705662
399,[ 638 2628 2897  843 2843 1719 2056  737  445 2680],189207001
400,[ 678 1289  776   42  665 2452 1313  480  999 1200],187326204
401,[2823  335 1051   58 3075 2290 3082 1508 1136 1665],188967538
402,[3866 2807 3810 2683   77 1882  914 2280 2706 1489],189904045
403,[1658 1048  944 2763 1389 2576 1111 1970 2430  540],111726547
404,[ 861 1352  282 1304 1935 1006 1340 1282  975 1641],190055397
405,[2569 1020  992 1431 2068 2268  629 1075  875  485],188237483
406,[  97  695 3768 3255 1215 2470 1205  990 1043  778],189420707
407,[1525 1817  602  801 2195 1721 1851  932  868 2045],184682770
408,[3204 1969 1757 1889 2127 3324 1634 3651  506 1614],189714458
409,[ 811   43  475  576  167 1004  307  123 1025  905],189557166
410,[ 734 1051 1620 2939 1673  616  104  213  747  200],136592330
411,[ 811 1648 1025  645 1315  781  345  717  915 1496],132742880
412,[3849 3502 3540 2763 1490 1976 3392 3869 1134 3727],188830438
413,[1462 1451  235  852  220 1825 1335 2139 1000  850],171012669
414,[3316 2245 2399  830  930  183 1049 1320  515 1592],183609814
415,[1053  335 1438 2436 1136   36  614 2827  693 3064],185121081
416,[  91 1389 3319 3178 1558 1111 2430  540 3142  993],187462742
417,[ 905  649  307  782  285  535  123 1004  475  771],187604216
418,[ 831 1978 2373 1218 3044 1668 2283  860 2658 2316],182359265
